DATA;ID CONTRATO;CONTRATO;ID OPERADORA;OPERADORA;COD EQUIPAMENTO;EQUIPAMENTO;FROTA;QTD;%
46113;COT3;TEU;OP95;SOGAL;EQ43;CCIT 5.0 ;158;0;0%
46113;COT3;TEU;OP99;TRANSCAL ;EQ43;CCIT 5.0 ;165;0;0%
46113;COT3;TEU;OP87;CONSÓRCIO;EQ44;CONNECTION CCIT 5.0;3;0;0%
46113;COT3;TEU;OP101;ITAPUÃ;EQ44;CONNECTION CCIT 5.0;7;0;0%
46113;COT3;TEU;OP87;CATSUL;EQ44;CONNECTION CCIT 5.0;8;0;0%
46113;COT3;TEU;OP91;NOVA SANTA RITA/CHARQUEADAS;EQ44;CONNECTION CCIT 5.0;10;0;0%
46113;COT3;TEU;OP152;TRANSBUS SAPUCAIA;EQ44;CONNECTION CCIT 5.0;33;0;0%
46113;COT3;TEU;OP84;CENTRAL ;EQ44;CONNECTION CCIT 5.0;40;0;0%
46113;COT3;TEU;OP104;TRENSURB;EQ44;CONNECTION CCIT 5.0;51;0;0%
46113;COT3;TEU;OP101;TRANSBUS;EQ44;CONNECTION CCIT 5.0;60;2;3%
46113;COT3;TEU;OP86;CMT ;EQ44;CONNECTION CCIT 5.0;62;1;2%
46113;COT3;TEU;OP101;GUAÍBA;EQ44;CONNECTION CCIT 5.0;119;6;5%
46113;COT3;TEU;OP95;SOGAL;EQ44;CONNECTION CCIT 5.0;159;0;0%
46113;COT3;TEU;OP99;TRANSCAL ;EQ44;CONNECTION CCIT 5.0;163;7;4%
46113;COT3;TEU;OP96;SOGIL;EQ44;CONNECTION CCIT 5.0;239;1;0%
46113;COT3;TEU;OP97;SOUL;EQ44;CONNECTION CCIT 5.0;256;8;3%
46113;COT3;TEU;OP101;VIAMÃO / VIA LESTE;EQ44;CONNECTION CCIT 5.0;268;13;5%
46113;COT12;DIVPASS;OP124;DIVIPASS;EQ33;POS MOVE 2500;10;1;10%
46113;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ33;POS MOVE 2500;351;19;5%
46113;COT10;METROPOLITANO-BAHIA;OP64;METROPOLITANO ;EQ41;POS X990;15;0;0%
46113;COT10;METROPOLITANO-BAHIA;OP64;METROPOLITANO ;EQ33;POS MOVE 2500 - 4G;10;0;0%
46113;COT20;ROSA TURISMO;OP66;ROSA TURISMO;EQ41;POS X990;7;0;0%
46113;COT19;SÃO JOÃO;OP67;SÃO JOÃO;EQ41;POS X990;7;0;0%
46113;COT2;Transcard;OP61;Setps (Transcard);EQ46;POS MOVE 2500 - WIFI;41;5;12%
46113;COT2;Transcard;OP61;Setps (Transcard);EQ32;POS 280;36;3;8%
46113;COT2;Transcard;OP61;Setps (Transcard);EQ31;POS 250;58;5;9%
46113;COT2;Transcard;OP61;Setps (Transcard);EQ33;POS MOVE 2500 - 4G;177;3;2%
46113;COT36;CAMAÇARI SSA;OP141;STT/VAICARD;EQ42;POS GPOS 700;17;0;0%
46113;COT1;Transfacil;OP27;Transfácil;EQ31;POS 250;69;10;14%
46113;COT11;Gov. Valadares;OP53;VIÇÃO MOBI;EQ33;POS MOVE 2500;10;0;0%
46113;COT37;CATEDRAL;OP144;CATEDRAL;EQ39;DMX200L JI21 SEM BATERIA;97;0;0%
46113;COT11;GOV. VALADARES;OP53;VIÇÃO MOBI;EQ13;DMX200L;89;12;13%
46113;COT17;São Jorge;OP50;SÃO JORGE AUTO ONIBUS ;EQ14;DMX200 MOD H3.1;42;0;0%
46113;COT1;Transfacil;OP43;Viação São Geraldo Ltda;EQ39;DMX200L JI21 SEM BATERIA;25;1;4%
