DATA;ID CONTRATO;CONTRATO;ID OPERADORA;OPERADORA;COD EQUIPAMENTO;EQUIPAMENTO;FROTA;QTD;%
44682;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;21;11;52%
44682;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;49;22;45%
44682;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;12;40%
44713;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;37;53%
44713;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;21;9;43%
44713;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;49;29;59%
44713;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;11;37%
44743;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;20;29%
44743;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;23;12;52%
44743;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;49;10;20%
44743;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;15;50%
44774;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;20;67%
44774;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;21;30%
44774;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;23;4;17%
44774;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;49;5;10%
44805;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;57;81%
44805;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;23;6;26%
44805;COT34;BRT SSA;OP61;Setps (Transcard);EQ28;ATM;10;0;0%
44805;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;49;19;39%
44805;COT10;Metropolitano-Bahia;OP64;METROPOLITANO ;EQ28;ATM;1;0;0%
44805;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;15;50%
44835;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;31;44%
44835;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;23;10;43%
44835;COT34;BRT SSA;OP61;Setps (Transcard);EQ28;ATM;14;5;36%
44835;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;49;12;24%
44835;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;23;77%
44866;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;23;14;61%
44866;COT34;BRT SSA;OP61;Setps (Transcard);EQ28;ATM;14;0;0%
44866;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;49;8;16%
44866;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;39;56%
44866;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;26;87%
44896;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;54;77%
44896;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;20;67%
44896;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;21;17;81%
44896;COT34;BRT SSA;OP61;Setps (Transcard);EQ28;ATM;14;1;7%
44896;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;49;22;45%
44927;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;43;61%
44927;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;23;13;57%
44927;COT34;BRT SSA;OP61;Setps (Transcard);EQ28;ATM;10;1;10%
44927;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;49;26;53%
44927;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;19;63%
44958;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;19;63%
44958;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;36;51%
44958;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;23;24;104%
44958;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;49;6;12%
44986;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;64;91%
44986;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;23;10;43%
44986;COT34;BRT SSA;OP61;Setps (Transcard);EQ28;ATM;10;1;10%
44958;COT34;BRT SSA;OP61;Setps (Transcard);EQ28;ATM;10;0;0%
44986;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;49;25;51%
44986;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;14;47%
45017;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;34;49%
45017;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;23;11;48%
45017;COT34;BRT SSA;OP61;Setps (Transcard);EQ28;ATM;10;3;30%
45017;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;49;12;24%
45017;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;11;37%
45047;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;54;77%
45047;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;23;7;30%
45047;COT34;BRT SSA;OP61;Setps (Transcard);EQ28;ATM;10;4;40%
45047;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;49;14;29%
45047;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;10;33%
45078;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;33;47%
45078;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;23;7;30%
45078;COT34;BRT SSA;OP61;Setps (Transcard);EQ28;ATM;10;5;50%
45078;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;49;14;29%
45078;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;14;47%
45108;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;21;30%
45108;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;23;8;35%
45108;COT34;BRT SSA;OP61;Setps (Transcard);EQ28;ATM;10;4;40%
45108;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;49;22;45%
45108;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;13;43%
45139;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;21;30%
45139;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;23;8;35%
45139;COT34;BRT SSA;OP61;Setps (Transcard);EQ28;ATM;10;4;40%
45139;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;49;29;59%
45139;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;14;47%
45170;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;37;53%
45170;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;23;22;96%
45170;COT34;BRT SSA;OP61;Setps (Transcard);EQ28;ATM;10;4;40%
45170;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;49;9;18%
45170;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;25;83%
45200;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;28;40%
45200;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;23;14;61%
45200;COT34;BRT SSA;OP61;Setps (Transcard);EQ28;ATM;10;4;40%
